"Minnesota Population Projections by Age and Gender, 2017-2065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Minnesota State Demographic Center, December 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megan Dayton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reissue of August 2015 dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Sex,Age,2013**,2014**,2015**,2016**,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
27,Total,0,69289,70133,69709,69937,70312,70395,70373,70325,70274,70227,70191,70164,70164,70161,70171,70197,70233,70256,70302,70359,70417,70483,70532,70569,70590,70612,70608,70588,70527,70433,70330,70231,70138,70050,69987,69947,69919,69908,69902,69903,69912,69924,69928,69942,69947,69957,69969,69976,69976,69981,69972,69964,69944,69920,69890,69847,69801,69749
27,Total,1,68711,69989,70508,70370,70841,71003,71086,71063,71013,70959,70911,70874,70846,70844,70841,70850,70874,70910,70946,71004,71074,71142,71208,71256,71292,71332,71372,71386,71365,71306,71215,71116,71025,70940,70863,70812,70785,70773,70766,70765,70769,70783,70794,70804,70822,70831,70847,70863,70875,70880,70890,70886,70882,70866,70847,70822,70782,70739
27,Total,2,69640,69226,70594,71135,70993,71324,71487,71570,71545,71494,71440,71391,71352,71323,71320,71315,71324,71348,71397,71445,71516,71599,71666,71732,71780,71836,71894,71954,71968,71949,71893,71809,71717,71634,71561,71496,71460,71448,71440,71439,71442,71452,71466,71482,71497,71519,71535,71556,71577,71594,71604,71619,71620,71621,71611,71596,71575,71541
27,Total,3,70556,69881,69447,71182,70874,71377,71709,71872,71955,71930,71879,71823,71773,71733,71702,71700,71694,71702,71739,71800,71861,71945,72028,72096,72162,72230,72304,72381,72442,72458,72444,72395,72319,72237,72165,72105,72055,72033,72025,72022,72026,72035,72044,72064,72085,72105,72134,72155,72180,72207,72229,72244,72264,72271,72278,72272,72262,72245
27,Total,4,70200,70742,70179,69880,70615,71077,71582,71915,72078,72160,72134,72083,72026,71977,71935,71905,71901,71894,71915,71967,72041,72115,72199,72283,72350,72436,72523,72618,72696,72759,72780,72774,72734,72668,72598,72540,72495,72460,72443,72440,72443,72451,72460,72475,72500,72527,72553,72587,72614,72644,72678,72705,72725,72751,72764,72775,72775,72770
27,Total,5,72710,70499,71005,70596,71071,70752,71213,71719,72052,72215,72298,72272,72220,72163,72113,72071,72040,72037,72043,72076,72141,72228,72302,72388,72472,72559,72665,72771,72868,72948,73017,73046,73049,73020,72966,72908,72867,72837,72807,72796,72798,72807,72815,72829,72850,72881,72915,72945,72985,73017,73052,73092,73126,73150,73183,73200,73217,73222
27,Total,6,73182,72808,70599,71285,70895,71384,71061,71523,72030,72363,72526,72609,72583,72530,72472,72422,72379,72347,72357,72376,72422,72499,72587,72662,72747,72851,72957,73083,73190,73289,73375,73451,73489,73502,73485,73444,73402,73374,73349,73324,73318,73325,73335,73347,73367,73394,73430,73469,73505,73550,73587,73629,73673,73711,73742,73779,73802,73824
27,Total,7,72247,73337,72879,70826,71174,71091,71579,71252,71716,72223,72556,72719,72802,72775,72722,72664,72614,72570,72552,72574,72606,72666,72744,72831,72906,73010,73134,73261,73388,73497,73602,73696,73781,73830,73856,73851,73826,73798,73777,73757,73737,73736,73743,73758,73776,73801,73833,73875,73920,73961,74013,74055,74103,74152,74196,74232,74274,74301
27,Total,8,72411,72457,73388,73133,71089,71370,71285,71771,71442,71905,72413,72747,72911,72993,72965,72912,72854,72803,72773,72767,72803,72848,72907,72985,73073,73168,73292,73436,73564,73693,73808,73922,74024,74121,74182,74221,74233,74222,74200,74183,74168,74154,74152,74165,74185,74209,74239,74277,74324,74375,74421,74479,74526,74580,74634,74684,74725,74773
27,Total,9,72870,72558,72432,73619,73600,71328,71607,71521,72004,71672,72137,72644,72979,73143,73225,73197,73144,73084,73047,73030,73038,73085,73130,73189,73269,73376,73491,73634,73779,73910,74046,74168,74291,74405,74514,74588,74643,74671,74665,74648,74636,74626,74611,74614,74631,74658,74686,74721,74765,74818,74873,74926,74989,75042,75101,75161,75216,75263
27,Total,10,71189,72993,72632,72732,74278,73816,71536,71814,71727,72209,71874,72338,72847,73182,73347,73428,73399,73346,73300,73275,73272,73292,73340,73385,73444,73544,73671,73806,73950,74097,74234,74378,74510,74644,74771,74894,74983,75054,75087,75086,75073,75066,75055,75045,75054,75077,75108,75142,75183,75232,75291,75351,75410,75477,75536,75600,75666,75726
