dates,rides
2020-01-06 18:00:00,5168871
2020-01-07 18:00:00,5362952
2020-01-08 18:00:00,5433665
2020-01-09 18:00:00,5429763
2020-01-10 18:00:00,5390124
2020-01-11 18:00:00,3102572
2020-01-12 18:00:00,2377155
2020-01-13 18:00:00,5153954
2020-01-14 18:00:00,5384078
2020-01-15 18:00:00,5483389
2020-01-16 18:00:00,5490052
2020-01-17 18:00:00,5296501
2020-01-18 18:00:00,2653626
2020-01-19 18:00:00,2306525
2020-01-20 18:00:00,3180137
2020-01-21 18:00:00,5227618
2020-01-22 18:00:00,5396900
2020-01-23 18:00:00,5395657
2020-01-24 18:00:00,5257716
2020-01-25 18:00:00,2689115
2020-01-26 18:00:00,2391196
2020-01-27 18:00:00,5155677
2020-01-28 18:00:00,5519805
2020-01-29 18:00:00,5577446
2020-01-30 18:00:00,5577816
2020-01-31 18:00:00,5359466
2020-02-01 18:00:00,2918598
2020-02-02 18:00:00,2274631
2020-02-03 18:00:00,5271250
2020-02-04 18:00:00,5515700
2020-02-05 18:00:00,5602978
2020-02-06 18:00:00,5578647
2020-02-07 18:00:00,5440379
2020-02-08 18:00:00,2985787
2020-02-09 18:00:00,2315052
2020-02-10 18:00:00,5255913
2020-02-11 18:00:00,5497270
2020-02-12 18:00:00,5518918
2020-02-13 18:00:00,5584568
2020-02-14 18:00:00,5425740
2020-02-15 18:00:00,2819574
2020-02-16 18:00:00,2363139
2020-02-17 18:00:00,3157340
2020-02-18 18:00:00,5032606
2020-02-19 18:00:00,5271192
2020-02-20 18:00:00,5231682
2020-02-21 18:00:00,5080226
2020-02-22 18:00:00,2953515
2020-02-23 18:00:00,2323927
2020-02-24 18:00:00,5260153
2020-02-25 18:00:00,5474671
2020-02-26 18:00:00,5518426
2020-02-27 18:00:00,5583673
2020-02-28 18:00:00,5405103
2020-02-29 18:00:00,2896670
2020-03-01 18:00:00,2248952
2020-03-02 18:00:00,5194824
2020-03-03 18:00:00,5415630
2020-03-04 18:00:00,5415841
2020-03-05 18:00:00,5416934
2020-03-06 18:00:00,5193097
2020-03-07 18:00:00,2810668
2020-03-08 18:00:00,2046293
2020-03-09 19:00:00,4801977
2020-03-10 19:00:00,4826391
2020-03-11 19:00:00,4655862
2020-03-12 19:00:00,4203509
2020-03-13 19:00:00,3492172
2020-03-14 19:00:00,1745412
2020-03-15 19:00:00,1219968
