date,state,fips,cases,deaths,datetime,rate
2020-01-21,Washington,53,1,0,2020-01-21,0.13132160885254723
2020-01-22,Washington,53,1,0,2020-01-22,0.13132160885254723
2020-01-23,Washington,53,1,0,2020-01-23,0.13132160885254723
2020-01-24,Illinois,17,1,0,2020-01-24,0.07891525614195466
2020-01-24,Washington,53,1,0,2020-01-24,0.13132160885254723
2020-01-25,California,6,1,0,2020-01-25,0.025308624118668292
2020-01-25,Illinois,17,1,0,2020-01-25,0.07891525614195466
2020-01-25,Washington,53,1,0,2020-01-25,0.13132160885254723
2020-01-26,Arizona,4,1,0,2020-01-26,0.1373868499077516
2020-01-26,California,6,2,0,2020-01-26,0.050617248237336585
2020-01-26,Illinois,17,1,0,2020-01-26,0.07891525614195466
2020-01-26,Washington,53,1,0,2020-01-26,0.13132160885254723
2020-01-27,Washington,53,1,0,2020-01-27,0.13132160885254723
2020-01-27,Illinois,17,1,0,2020-01-27,0.07891525614195466
2020-01-27,Arizona,4,1,0,2020-01-27,0.1373868499077516
2020-01-27,California,6,2,0,2020-01-27,0.050617248237336585
2020-01-28,Arizona,4,1,0,2020-01-28,0.1373868499077516
2020-01-28,California,6,2,0,2020-01-28,0.050617248237336585
2020-01-28,Illinois,17,1,0,2020-01-28,0.07891525614195466
2020-01-28,Washington,53,1,0,2020-01-28,0.13132160885254723
2020-01-29,Arizona,4,1,0,2020-01-29,0.1373868499077516
2020-01-29,California,6,2,0,2020-01-29,0.050617248237336585
2020-01-29,Illinois,17,1,0,2020-01-29,0.07891525614195466
2020-01-29,Washington,53,1,0,2020-01-29,0.13132160885254723
2020-01-30,Washington,53,1,0,2020-01-30,0.13132160885254723
2020-01-30,Illinois,17,2,0,2020-01-30,0.15783051228390932
2020-01-30,Arizona,4,1,0,2020-01-30,0.1373868499077516
2020-01-30,California,6,2,0,2020-01-30,0.050617248237336585
2020-01-31,Arizona,4,1,0,2020-01-31,0.1373868499077516
2020-01-31,California,6,3,0,2020-01-31,0.07592587235600488
2020-01-31,Illinois,17,2,0,2020-01-31,0.15783051228390932
2020-01-31,Washington,53,1,0,2020-01-31,0.13132160885254723
2020-02-01,Washington,53,1,0,2020-02-01,0.13132160885254723
2020-02-01,Arizona,4,1,0,2020-02-01,0.1373868499077516
2020-02-01,California,6,3,0,2020-02-01,0.07592587235600488
2020-02-01,Illinois,17,2,0,2020-02-01,0.15783051228390932
2020-02-01,Massachusetts,25,1,0,2020-02-01,0.14389518214468
2020-02-02,Washington,53,1,0,2020-02-02,0.13132160885254723
2020-02-02,Massachusetts,25,1,0,2020-02-02,0.14389518214468
2020-02-02,Arizona,4,1,0,2020-02-02,0.1373868499077516
2020-02-02,California,6,6,0,2020-02-02,0.15185174471200977
2020-02-02,Illinois,17,2,0,2020-02-02,0.15783051228390932
2020-02-03,Massachusetts,25,1,0,2020-02-03,0.14389518214468
2020-02-03,Arizona,4,1,0,2020-02-03,0.1373868499077516
2020-02-03,California,6,6,0,2020-02-03,0.15185174471200977
2020-02-03,Illinois,17,2,0,2020-02-03,0.15783051228390932
2020-02-03,Washington,53,1,0,2020-02-03,0.13132160885254723
2020-02-04,Massachusetts,25,1,0,2020-02-04,0.14389518214468
2020-02-04,Illinois,17,2,0,2020-02-04,0.15783051228390932
2020-02-04,Washington,53,1,0,2020-02-04,0.13132160885254723
2020-02-04,Arizona,4,1,0,2020-02-04,0.1373868499077516
2020-02-04,California,6,6,0,2020-02-04,0.15185174471200977
2020-02-05,Arizona,4,1,0,2020-02-05,0.1373868499077516
2020-02-05,California,6,6,0,2020-02-05,0.15185174471200977
2020-02-05,Illinois,17,2,0,2020-02-05,0.15783051228390932
2020-02-05,Massachusetts,25,1,0,2020-02-05,0.14389518214468
2020-02-05,Washington,53,1,0,2020-02-05,0.13132160885254723
2020-02-05,Wisconsin,55,1,0,2020-02-05,0.1717494779674617
2020-02-06,Wisconsin,55,1,0,2020-02-06,0.1717494779674617
2020-02-06,Washington,53,1,0,2020-02-06,0.13132160885254723
2020-02-06,Massachusetts,25,1,0,2020-02-06,0.14389518214468
2020-02-06,Arizona,4,1,0,2020-02-06,0.1373868499077516
2020-02-06,California,6,6,0,2020-02-06,0.15185174471200977
2020-02-06,Illinois,17,2,0,2020-02-06,0.15783051228390932
2020-02-07,Washington,53,1,0,2020-02-07,0.13132160885254723
2020-02-07,Wisconsin,55,1,0,2020-02-07,0.1717494779674617
2020-02-07,Massachusetts,25,1,0,2020-02-07,0.14389518214468
2020-02-07,Arizona,4,1,0,2020-02-07,0.1373868499077516
2020-02-07,California,6,6,0,2020-02-07,0.15185174471200977
2020-02-07,Illinois,17,2,0,2020-02-07,0.15783051228390932
2020-02-08,Arizona,4,1,0,2020-02-08,0.1373868499077516
2020-02-08,California,6,6,0,2020-02-08,0.15185174471200977
2020-02-08,Illinois,17,2,0,2020-02-08,0.15783051228390932
2020-02-08,Massachusetts,25,1,0,2020-02-08,0.14389518214468
2020-02-08,Washington,53,1,0,2020-02-08,0.13132160885254723
2020-02-08,Wisconsin,55,1,0,2020-02-08,0.1717494779674617
2020-02-09,Washington,53,1,0,2020-02-09,0.13132160885254723
2020-02-09,Wisconsin,55,1,0,2020-02-09,0.1717494779674617
2020-02-09,Massachusetts,25,1,0,2020-02-09,0.14389518214468
2020-02-09,Arizona,4,1,0,2020-02-09,0.1373868499077516
2020-02-09,California,6,6,0,2020-02-09,0.15185174471200977
2020-02-09,Illinois,17,2,0,2020-02-09,0.15783051228390932
2020-02-10,Arizona,4,1,0,2020-02-10,0.1373868499077516
