Atlanta,Austin,Baltimore,Boston,Calgary,Charlotte,Chicago,Cincinnati,Ciudad de México,Columbus,Dallas,Denver,Dublin,Edmonton,Fort Lauderdale,Hamburg,Honolulu,Houston,Indianapolis,Las Vegas,London,Los Angeles,Louisville,Miami,Miami Beach,Minneapolis,Montréal,München,Naples,Nashville,New Orleans,New York,Orlando,Philadelphia,Phoenix,Pittsburgh,Portland,Raleigh,San Antonio,San Diego,San Francisco,San Pedro Garza García,Scottsdale,Seattle,Tampa,Toronto,Vancouver,Washington
6.0,0.0,10.0,5.0,0.0,1.0,-7.0,7.0,-8.0,-10.0,6.0,-1.0,-5,8.0,-8.0,13,-3.0,-2.0,52.0,-22.0,4,7.0,28.0,0.0,19.0,-14.0,16.0,8.0,-2.0,13.0,-9.0,1.0,-6.0,10.0,-4.0,10.0,1.0,7.0,-6.0,-1.0,-15.0,-9.0,-3.0,8.0,7.0,-14.0,9.0,-5.0
9.0,-6.0,42.0,15.0,4.0,-3.0,-3.0,1.0,-9.0,0.0,-4.0,-12.0,-1,17.0,-4.0,12,1.0,-8.0,14.0,-19.0,1,6.0,11.0,-8.0,-2.0,27.0,14.0,14.0,-5.0,7.0,1.0,11.0,-3.0,55.0,0.0,24.0,-4.0,10.0,-4.0,9.0,-11.0,-12.0,-3.0,11.0,5.0,-8.0,1.0,57.0
-5.0,2.0,12.0,-3.0,5.0,-27.0,-5.0,-6.0,-2.0,-3.0,1.0,-9.0,7,3.0,-6.0,4,3.0,-3.0,-28.0,-6.0,2,9.0,7.0,-5.0,6.0,-33.0,-5.0,4.0,-3.0,-10.0,14.0,3.0,-12.0,11.0,11.0,-14.0,7.0,-49.0,-5.0,7.0,-4.0,-5.0,5.0,6.0,2.0,-9.0,7.0,9.0
-5.0,3.0,-9.0,-12.0,0.0,-1.0,-4.0,-6.0,-3.0,-6.0,3.0,14.0,0,4.0,-14.0,12,9.0,3.0,-15.0,0.0,3,1.0,0.0,1.0,7.0,-15.0,-1.0,10.0,7.0,7.0,23.0,0.0,-7.0,1.0,-1.0,-9.0,11.0,-9.0,2.0,-1.0,-8.0,4.0,6.0,1.0,-4.0,-9.0,6.0,0.0
-3.0,2.0,12.0,-2.0,11.0,0.0,7.0,-8.0,0.0,-8.0,-3.0,2.0,-3,2.0,-8.0,6,9.0,1.0,4.0,-4.0,-1,8.0,6.0,5.0,10.0,12.0,14.0,-1.0,3.0,10.0,10.0,3.0,2.0,2.0,0.0,-4.0,6.0,4.0,-6.0,-12.0,-9.0,10.0,-5.0,1.0,11.0,-4.0,7.0,9.0
-7.0,5.0,16.0,14.0,6.0,-11.0,11.0,-12.0,2.0,7.0,-2.0,-3.0,-6,10.0,-8.0,9,-1.0,-10.0,17.0,7.0,-4,29.0,-11.0,-7.0,9.0,33.0,42.0,-6.0,2.0,-12.0,21.0,13.0,4.0,6.0,1.0,-4.0,22.0,1.0,-15.0,-1.0,-9.0,17.0,5.0,12.0,-6.0,12.0,2.0,16.0
-6.0,3.0,20.0,5.0,-4.0,-6.0,-6.0,-8.0,0.0,0.0,-2.0,-10.0,-12,0.0,-5.0,11,5.0,4.0,10.0,-2.0,-3,12.0,-5.0,17.0,16.0,18.0,13.0,-4.0,-1.0,-14.0,109.0,7.0,5.0,-2.0,7.0,14.0,14.0,-11.0,-15.0,-11.0,9.0,4.0,-3.0,1.0,-6.0,-8.0,1.0,13.0
1.0,5.0,9.0,3.0,1.0,5.0,-16.0,-7.0,-2.0,-17.0,14.0,-12.0,-11,9.0,10.0,14,0.0,7.0,16.0,-3.0,-3,15.0,-5.0,1.0,26.0,27.0,21.0,8.0,8.0,-12.0,102.0,1.0,0.0,-2.0,3.0,-3.0,-7.0,-9.0,9.0,-2.0,16.0,-5.0,11.0,0.0,15.0,-7.0,3.0,9.0
-3.0,-3.0,-4.0,1.0,-3.0,-3.0,-15.0,-33.0,-10.0,-14.0,1.0,-2.0,0,1.0,6.0,13,7.0,9.0,-4.0,-17.0,-1,5.0,-11.0,-9.0,3.0,12.0,4.0,-4.0,7.0,-14.0,9.0,1.0,14.0,10.0,-2.0,-10.0,17.0,-5.0,-5.0,-3.0,12.0,0.0,2.0,3.0,5.0,-6.0,1.0,9.0
-4.0,0.0,-1.0,12.0,-4.0,4.0,-8.0,-15.0,-9.0,-15.0,-7.0,-2.0,-4,-4.0,-11.0,1,0.0,1.0,-3.0,-9.0,-4,0.0,-9.0,0.0,3.0,29.0,1.0,-3.0,2.0,4.0,-21.0,-2.0,21.0,13.0,-2.0,-19.0,4.0,-1.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,-17.0,-5.0,2.0
7.0,8.0,14.0,1.0,3.0,13.0,-8.0,-16.0,-8.0,-15.0,6.0,1.0,-9,11.0,-7.0,12,0.0,-6.0,-8.0,-10.0,-1,8.0,-13.0,0.0,0.0,39.0,-7.0,4.0,2.0,12.0,-21.0,1.0,5.0,11.0,7.0,-16.0,-4.0,-4.0,1.0,3.0,-8.0,-1.0,2.0,7.0,10.0,-16.0,-1.0,4.0
1.0,9.0,4.0,22.0,4.0,0.0,-3.0,-11.0,-8.0,-15.0,10.0,27.0,-6,8.0,-18.0,0,-6.0,-6.0,3.0,-6.0,-4,13.0,2.0,4.0,5.0,11.0,13.0,6.0,0.0,3.0,-16.0,-2.0,1.0,7.0,-5.0,5.0,4.0,-2.0,-6.0,12.0,-10.0,17.0,2.0,0.0,5.0,-5.0,1.0,2.0
8.0,2.0,16.0,1.0,-9.0,6.0,1.0,4.0,-8.0,22.0,11.0,38.0,4,9.0,-17.0,-3,-9.0,2.0,15.0,-17.0,-2,-3.0,13.0,-18.0,5.0,14.0,15.0,19.0,5.0,-3.0,-27.0,-2.0,4.0,21.0,-11.0,32.0,9.0,1.0,0.0,-2.0,-18.0,8.0,-4.0,-18.0,-15.0,-9.0,-2.0,6.0
