Name,date,frac
Global,2020-05-18,-93.53
Australia,2020-05-18,-92.67
Canada,2020-05-18,-98.13
Germany,2020-05-18,-62.32
Ireland,2020-05-18,-99.11
Mexico,2020-05-18,-98.76
United Kingdom,2020-05-18,-99.38
United States,2020-05-18,-93.66
Global,2020-05-17,-93.9
Australia,2020-05-17,-94.71
Canada,2020-05-17,-98.56
Germany,2020-05-17,-73.93
Ireland,2020-05-17,-96.9
Mexico,2020-05-17,-99.14
United Kingdom,2020-05-17,-98.88
United States,2020-05-17,-93.64
Global,2020-05-16,-93.34
Australia,2020-05-16,-94.61
Canada,2020-05-16,-98.56
Germany,2020-05-16,-79.03
Ireland,2020-05-16,-90.79
Mexico,2020-05-16,-98.68
United Kingdom,2020-05-16,-97.5
United States,2020-05-16,-93.03
Global,2020-05-15,-93.99
Australia,2020-05-15,-97.01
Canada,2020-05-15,-98.92
Germany,2020-05-15,-79.98
Ireland,2020-05-15,-98.62
Mexico,2020-05-15,-98.53
United Kingdom,2020-05-15,-99.12
United States,2020-05-15,-93.55
Global,2020-05-14,-95.53
Australia,2020-05-14,-99.03
Canada,2020-05-14,-99.2
Germany,2020-05-14,-91.52
Ireland,2020-05-14,-98.48
Mexico,2020-05-14,-98.94
United Kingdom,2020-05-14,-98.92
United States,2020-05-14,-94.94
Global,2020-05-13,-95.92
Australia,2020-05-13,-98.57
Canada,2020-05-13,-99.89
Germany,2020-05-13,-91.52
Ireland,2020-05-13,-98.57
Mexico,2020-05-13,-99.35
United Kingdom,2020-05-13,-99.32
United States,2020-05-13,-95.31
Global,2020-05-12,-96.26
Australia,2020-05-12,-99.03
Canada,2020-05-12,-99.94
Germany,2020-05-12,-95.32
Ireland,2020-05-12,-99.08
Mexico,2020-05-12,-99.11
United Kingdom,2020-05-12,-99.3
United States,2020-05-12,-95.62
Global,2020-05-11,-96.25
Australia,2020-05-11,-98.51
Canada,2020-05-11,-99.93
Germany,2020-05-11,-94.49
Ireland,2020-05-11,-99.2
Mexico,2020-05-11,-99.4
United Kingdom,2020-05-11,-99.49
United States,2020-05-11,-95.67
Global,2020-05-10,-97.22
Australia,2020-05-10,-100.0
Canada,2020-05-10,-100.0
Germany,2020-05-10,-99.48
Ireland,2020-05-10,-100.0
Mexico,2020-05-10,-98.74
United Kingdom,2020-05-10,-100.0
United States,2020-05-10,-96.86
Global,2020-05-09,-97.57
Australia,2020-05-09,-100.0
Canada,2020-05-09,-99.99
Germany,2020-05-09,-99.42
